state,city
Sabah,Papar
Sabah,Kota Belud
Sabah,Beluran
Sabah,Tuaran
Johor,Muar
Johor,Johor Bahru
Johor,Tangkak
Johor,Kulai
Pulau Pinang,George Town
Pulau Pinang,Bukit Mertajam
Pulau Pinang,Timur Laut
Selangor,Petaling Jaya
Selangor,Klang
Selangor,Kuala Selangor
Selangor,Shah Alam
Selangor,Puchong
Selangor,Dengkil
Selangor,Kajang
Selangor,Balakong
Pahang,Pekan
Pahang,Raub
Pahang,Kuantan
Pahang,Cameron Highlands
Pahang,Lojing
Pahang,Temerloh
Melaka,Ayer Keroh
Kuala Lumpur,Kuala Lumpur
Kuala Lumpur,Sepang
Kuala Lumpur,Selayang
Sarawak,Kuching
Sarawak,Sibu
Sarawak,Miri
Negeri Sembilan,Seremban
Negeri Sembilan,Port Dickson
Perlis,Kuala Perlis
Putrajaya,Putrajaya
Perak,Muallim
Kedah,Bandar Baharu
Kedah,Sungai Petani
